,title,artist
0,Especially For You,Denise And Johnny
1,To You I Belong,Bwitched
2,Believe,Cher
3,You Should Be...,Blockster
4,Chocolate Salty Balls (P.S. I Love You),Chef
5,Goodbye,Spice Girls
6,Praise You,Fatboy Slim
7,A Little Bit More,911
8,I Want You For Myself,Another Level/Ghostface Killah
9,More Than This,Emmie
10,Gimme Some More,Busta Rhymes
11,Westside,Tq
12,Tequila,Terrorvision
13,These Are The Times,Dru Hill
14,Heartbeat/Tragedy,Steps
15,Boy You Knock Me Out,Tatyana Ali Ft Will Smith
16,Enjoy Yourself,A+
17,Pretty Fly (For A White Guy),Offspring
18,You Dont Know Me,Armand Van Helden/Duane Harden
19,Protect Your Mind (For The Love Of A..),Dj Sakin & Friends
20,Maria,Blondie
21,One Week,Barenaked Ladies
22,Fly Away,Lenny Kravitz
23,Runaway,Corrs
24,Ex-Factor,Lauryn Hill
25,I Want You Back,Nsync
26,Tender,Blur
27,Just Looking,Stereophonics
28,Strong Enough,Cher
29,Its Not Right But Its Okay,Whitney Houston
30,As,George Michael & Mary J.Blige
31,Better Best Forgotten,Steps
32,You Stole The Sun From My Heart,Manic Street Preachers
33,Blame It On The Weatherman,Bwitched
34,When The Going Gets Tough,Boyzone
35,Strong,Robbie Williams
36,We Like To Party! (The Vengabus),Vengaboys
37,You Get What You Give,New Radicals
38,Honey To The Bee,Billie
39,Baby 1 More Time,Britney Spears
40,Witch Doctor,Cartoons
41,Flat Beat,Mr. Oizo
42,Thank Abba For The Music,Various Artists
43,Turn Around,Phats & Small
44,My Name Is,Eminem
45,In Our Lifetime,Texas
46,Red Alert,Basement Jaxx
47,Right Here Right Now,Fatboy Slim
48,Perfect Moment,Martine Mccutcheon
49,Why Dont You Get A Job?,Offspring
50,Private Number,911
51,Swear It Again,Westlife
52,Pick A Part Thats New,Stereophonics
53,No Scrubs,Tlc
54,I Want It That Way,Backstreet Boys
55,You Needed Me,Boyzone
56,Look At Me,Geri Halliwell
57,Kiss Me,Sixpence None The Richer
58,Canned Heat,Jamiroquai
59,Hey Boy Hey Girl,Chemical Brothers
60,Sweet Like Chocolate,Shanks & Bigfoot
61,Everybodys Free (To Wear Sunscreen),Baz Luhrmann
62,That Dont Impress Me Much,Shania Twain
63,Beautiful Stranger,Madonna
64,I Breathe Again,Adam Rickitt
65,Sometimes,Britney Spears
66,If You Had My Love,Jennifer Lopez
67,Bring It All Back,S Club 7
68,My Love Is Your Love,Whitney Houston
69,Wild Wild West,Will Smith
70,9Pm (Till I Come),Atb
